"","start.date","end.date","debt.volume","relative_changethree","relative_changetwo","relative_changeone"
"281","2009-05-17 00:00:00","2009-05-23 00:00:00",26,-0.333333333333332,0,1
"282","2009-05-24 00:00:00","2009-05-30 00:00:00",25,-1,-0.5,-1
"283","2009-05-31 00:00:00","2009-06-06 00:00:00",26,0.666666666666668,0.5,1
"284","2009-06-07 00:00:00","2009-06-13 00:00:00",27,1.33333333333333,1.5,1
"285","2009-06-14 00:00:00","2009-06-20 00:00:00",26,0,-0.5,-1
"286","2009-06-21 00:00:00","2009-06-27 00:00:00",28,1.66666666666667,1.5,2
"287","2009-06-28 00:00:00","2009-07-04 00:00:00",28,1,1,0
"288","2009-07-05 00:00:00","2009-07-11 00:00:00",28,0.666666666666668,0,0
"289","2009-07-12 00:00:00","2009-07-18 00:00:00",28,0,0,0
"290","2009-07-19 00:00:00","2009-07-25 00:00:00",27,-1,-1,-1
"291","2009-07-26 00:00:00","2009-08-01 00:00:00",26,-1.66666666666667,-1.5,-1
"292","2009-08-02 00:00:00","2009-08-08 00:00:00",28,1,1.5,2
"293","2009-08-09 00:00:00","2009-08-15 00:00:00",28,1,1,0
"294","2009-08-16 00:00:00","2009-08-22 00:00:00",26,-1.33333333333333,-2,-2
"295","2009-08-23 00:00:00","2009-08-29 00:00:00",30,2.66666666666667,3,4
"296","2009-08-30 00:00:00","2009-09-05 00:00:00",26,-2,-2,-4
"297","2009-09-06 00:00:00","2009-09-12 00:00:00",26,-1.33333333333333,-2,0
"298","2009-09-13 00:00:00","2009-09-19 00:00:00",27,-0.333333333333332,1,1
"299","2009-09-20 00:00:00","2009-09-26 00:00:00",25,-1.33333333333333,-1.5,-2
"300","2009-09-27 00:00:00","2009-10-03 00:00:00",26,0,0,1
"301","2009-10-04 00:00:00","2009-10-10 00:00:00",26,0,0.5,0
"302","2009-10-11 00:00:00","2009-10-17 00:00:00",28,2.33333333333333,2,2
"303","2009-10-18 00:00:00","2009-10-24 00:00:00",28,1.33333333333333,1,0
"304","2009-10-25 00:00:00","2009-10-31 00:00:00",26,-1.33333333333333,-2,-2
"305","2009-11-01 00:00:00","2009-11-07 00:00:00",26,-1.33333333333333,-1,0
"306","2009-11-08 00:00:00","2009-11-14 00:00:00",25,-1.66666666666667,-1,-1
"307","2009-11-15 00:00:00","2009-11-21 00:00:00",28,2.33333333333333,2.5,3
"308","2009-11-22 00:00:00","2009-11-28 00:00:00",25,-1.33333333333333,-1.5,-3
"309","2009-11-29 00:00:00","2009-12-05 00:00:00",28,2,1.5,3
"310","2009-12-06 00:00:00","2009-12-12 00:00:00",25,-2,-1.5,-3
"311","2009-12-13 00:00:00","2009-12-19 00:00:00",25,-1,-1.5,0
"312","2009-12-20 00:00:00","2009-12-26 00:00:00",17,-9,-8,-8
"313","2009-12-27 00:00:00","2010-01-02 00:00:00",22,-0.333333333333332,1,5
"314","2010-01-03 00:00:00","2010-01-09 00:00:00",27,5.66666666666667,7.5,5
"315","2010-01-10 00:00:00","2010-01-16 00:00:00",26,4,1.5,-1
"316","2010-01-17 00:00:00","2010-01-23 00:00:00",27,2,0.5,1
"317","2010-01-24 00:00:00","2010-01-30 00:00:00",32,5.33333333333333,5.5,5
"318","2010-01-31 00:00:00","2010-02-06 00:00:00",34,5.66666666666667,4.5,2
"319","2010-02-07 00:00:00","2010-02-13 00:00:00",30,-1,-3,-4
